"","head_x","head_y","head_p","center_x","center_y","center_p","leftleg_x","leftleg_y","leftleg_p","rightleg_x","rightleg_y","rightleg_p","Movement_head","Movement_center","Movement_leftleg","Movement_rightleg","All_bp_movements_Animal_1_sum","All_bp_movements_Animal_1_mean","All_bp_movements_Animal_1_min","All_bp_movements_Animal_1_max","Mean_All_bp_movements_Animal_1_mean_2","Sum_All_bp_movements_Animal_1_mean_2","Mean_All_bp_movements_Animal_1_mean_5","Sum_All_bp_movements_Animal_1_mean_5","Mean_All_bp_movements_Animal_1_mean_6","Sum_All_bp_movements_Animal_1_mean_6","Mean_All_bp_movements_Animal_1_mean_7.5","Sum_All_bp_movements_Animal_1_mean_7.5","Mean_All_bp_movements_Animal_1_mean_15","Sum_All_bp_movements_Animal_1_mean_15","Sum_probabilities","Mean_probabilities","Low_prob_detections_0.1","Low_prob_detections_0.5","Low_prob_detections_0.75","walk"
"36",343.68332,930.97034,0.18268037,335.05228,928.34357,0.16559052,349.48068,935.04004,0.13386491,345.022,941.3223,0.13488187,2.6189241,69.11737,6.213297,0.49766552,78.44726,19.611814,0.49766552,69.11737,16.67649,33.35298,25.525097,127.62548,21.544304,129.26582,19.075487,133.52841,45.7423,686.13446,0.6170177,0.15425442,0,4,4,1
"37",329.8812,930.47845,0.1635564,331.23676,928.34357,0.16684234,335.81857,933.70135,0.15367334,335.5143,941.3223,0.13816962,105.539406,29.157276,104.90247,72.65543,312.25458,78.063644,29.157276,105.539406,48.83773,97.67546,40.51401,202.57005,34.28152,205.68912,29.618494,207.32947,50.20921,753.1382,0.62224174,0.15556043,0,4,4,1
"38",328.89355,930.3078,0.19563915,330.09625,927.9525,0.22429448,335.81857,933.70135,0.16933945,330.53973,928.2075,0.1835343,7.659144,9.213525,0,107.187584,124.06026,31.015064,0,107.187584,54.539352,109.078705,30.190554,150.95277,38.930855,233.58513,33.814884,236.7042,42.781406,641.7211,0.77280736,0.19320184,0,4,4,1
"39",328.10876,930.00793,0.17551892,329.9627,926.8727,0.22263533,335.5226,932.63666,0.18092066,329.44052,938.1671,0.18992823,6.420051,8.314692,8.444648,76.57091,99.7503,24.937574,6.420051,76.57091,27.976318,55.952637,33.473854,167.36926,29.315058,175.89035,36.931812,258.5227,37.51998,562.79974,0.76900315,0.19225079,0,4,4,1
"40",328.10876,930.00793,0.1510464,329.7442,926.7147,0.19256027,335.5226,932.63666,0.1604438,328.7854,938.1671,0.17689383,0,2.0603826,0,5.006273,7.066655,1.7666638,0,5.006273,13.352119,26.704239,31.078953,155.39476,28.189322,169.13593,25.379572,177.65701,30.924465,463.86697,0.68094426,0.17023607,0,4,4,1
"41",327.81442,922.8666,0.13916086,329.0727,926.49786,0.18327427,318.429,919.6005,0.16672267,321.27927,938.1671,0.1796001,54.61883,5.392455,164.2769,57.360035,281.64822,70.412056,5.392455,164.2769,36.08936,72.17872,41.239002,206.195,37.634468,225.80682,34.22114,239.54799,29.607986,444.1198,0.6687579,0.16718948,0,4,4,1
"42",311.82184,915.8815,0.16489306,328.86377,922.9078,0.19528812,318.12894,919.29645,0.18360259,319.27518,938.2773,0.1824021,133.35999,27.480986,3.2644894,15.337881,179.44334,44.860836,3.2644894,133.35999,57.636444,115.27289,34.59844,172.99219,41.84264,251.05583,38.66681,270.66766,27.864513,417.9677,0.7261859,0.18154648,0,4,4,1
"43",311.82184,915.67993,0.15713719,312.8641,913.26294,0.20869826,317.6617,919.29645,0.19467865,318.51447,938.2773,0.15448286,1.5401046,142.76225,3.570412,5.813172,153.68594,38.421486,1.5401046,142.76225,41.64116,83.28232,36.079723,180.39862,35.235615,211.41368,41.353905,289.47733,28.433392,426.5009,0.71499693,0.17874923,0,4,4,1
"44",311.82184,915.67993,0.15658611,312.8641,913.26294,0.2076366,317.56763,918.9975,0.17657495,313.86935,938.2773,0.15526144,0,0,2.3949718,35.4968,37.89177,9.472942,0,35.4968,23.947214,47.89443,32.986797,164.93399,31.64526,189.87155,31.555231,220.88663,28.831913,432.47867,0.6960591,0.17401478,0,4,4,1
"45",311.82184,915.0651,0.1622745,312.2784,912.6946,0.19533508,317.45676,918.60834,0.15421565,304.23282,938.06744,0.14958398,4.698205,6.2366695,3.0922005,73.65749,87.68457,21.921143,3.0922005,73.65749,15.697042,31.394085,37.017693,185.08847,31.14252,186.85513,30.2561,211.7927,30.009148,450.13724,0.6614092,0.1653523,0,4,4,1
